seed,perturbation,baseline_acc,concat_acc,film_acc,concat_delta_vs_baseline,film_delta_vs_baseline,baseline_drop_vs_full,concat_drop_vs_full,film_drop_vs_full
42,amplitude_noise_0.05,0.6616161616161617,0.6818181818181818,0.6767676767676768,0.02020202020202011,0.015151515151515138,0.03535353535353536,0.023569023569023573,0.025252525252525193
42,amplitude_noise_0.10,0.6683501683501684,0.6801346801346801,0.6734006734006734,0.011784511784511786,0.005050505050505083,0.028619528619528656,0.025252525252525193,0.028619528619528545
42,band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5303030303030304,0.5387205387205387,0.5353535353535354
42,band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5303030303030304,0.5387205387205387,0.5353535353535354
42,band_0.50_0.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5303030303030304,0.5387205387205387,0.5353535353535354
42,blur_heavy,0.37542087542087543,0.1835016835016835,0.21885521885521886,-0.19191919191919193,-0.15656565656565657,0.3215488215488216,0.5218855218855218,0.48316498316498313
42,blur_light,0.5757575757575758,0.265993265993266,0.35353535353535354,-0.3097643097643098,-0.22222222222222227,0.12121212121212122,0.43939393939393934,0.34848484848484845
42,downsample_x2,0.6565656565656566,0.6346801346801347,0.6127946127946128,-0.02188552188552184,-0.043771043771043794,0.04040404040404044,0.07070707070707061,0.08922558922558921
42,downsample_x4,0.6144781144781145,0.37542087542087543,0.41245791245791247,-0.23905723905723908,-0.20202020202020204,0.0824915824915825,0.3299663299663299,0.2895622895622895
42,full,0.696969696969697,0.7053872053872053,0.702020202020202,0.008417508417508324,0.005050505050504972,0.0,0.0,0.0
42,high_0.30,0.1717171717171717,0.1734006734006734,0.1734006734006734,0.0016835016835016758,0.0016835016835016758,0.5252525252525253,0.531986531986532,0.5286195286195285
42,high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5303030303030304,0.5387205387205387,0.5353535353535354
42,low_0.15,0.5084175084175084,0.2255892255892256,0.3501683501683502,-0.2828282828282829,-0.15824915824915825,0.18855218855218858,0.4797979797979798,0.3518518518518518
42,low_0.30,0.6195286195286195,0.3686868686868687,0.4781144781144781,-0.2508417508417508,-0.14141414141414138,0.07744107744107753,0.33670033670033667,0.22390572390572389
42,low_0.50,0.6784511784511784,0.6430976430976431,0.6346801346801347,-0.03535353535353536,-0.04377104377104368,0.0185185185185186,0.062289562289562284,0.06734006734006726
42,phase_noise_0.05,0.664983164983165,0.6734006734006734,0.6801346801346801,0.008417508417508435,0.015151515151515138,0.03198653198653201,0.031986531986531896,0.02188552188552184
42,phase_noise_0.10,0.6717171717171717,0.6835016835016835,0.6818181818181818,0.011784511784511786,0.010101010101010055,0.025252525252525304,0.02188552188552184,0.02020202020202022
43,amplitude_noise_0.05,0.6717171717171717,0.6767676767676768,0.6835016835016835,0.005050505050505083,0.011784511784511786,0.026936026936026924,0.025252525252525193,0.02020202020202022
43,amplitude_noise_0.10,0.6683501683501684,0.6851851851851852,0.6835016835016835,0.01683501683501687,0.015151515151515138,0.030303030303030276,0.01683501683501676,0.02020202020202022
43,band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5353535353535354,0.5370370370370371
43,band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5353535353535354,0.5370370370370371
43,band_0.50_0.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5353535353535354,0.5370370370370371
43,blur_heavy,0.3114478114478115,0.2558922558922559,0.22053872053872053,-0.05555555555555558,-0.09090909090909094,0.38720538720538716,0.4461279461279461,0.4831649831649832
43,blur_light,0.5336700336700336,0.4612794612794613,0.3552188552188552,-0.07239057239057234,-0.17845117845117842,0.164983164983165,0.2407407407407407,0.3484848484848485
43,downsample_x2,0.6346801346801347,0.6717171717171717,0.622895622895623,0.03703703703703698,-0.011784511784511786,0.0639730639730639,0.030303030303030276,0.08080808080808077
43,downsample_x4,0.5808080808080808,0.5286195286195287,0.4393939393939394,-0.05218855218855212,-0.14141414141414138,0.11784511784511786,0.17340067340067333,0.26430976430976433
43,full,0.6986531986531986,0.702020202020202,0.7037037037037037,0.0033670033670033517,0.005050505050505083,0.0,0.0,0.0
43,high_0.30,0.1717171717171717,0.1717171717171717,0.1734006734006734,0.0,0.0016835016835016758,0.5269360269360269,0.5303030303030303,0.5303030303030303
43,high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5353535353535354,0.5370370370370371
43,low_0.15,0.46464646464646464,0.3164983164983165,0.3653198653198653,-0.14814814814814814,-0.09932659932659932,0.234006734006734,0.3855218855218855,0.3383838383838384
43,low_0.30,0.5993265993265994,0.44612794612794615,0.4713804713804714,-0.15319865319865322,-0.12794612794612797,0.09932659932659926,0.25589225589225584,0.23232323232323232
43,low_0.50,0.6632996632996633,0.6632996632996633,0.6161616161616161,0.0,-0.047138047138047146,0.03535353535353536,0.03872053872053871,0.08754208754208759
43,phase_noise_0.05,0.6666666666666666,0.6818181818181818,0.6784511784511784,0.015151515151515138,0.011784511784511786,0.03198653198653201,0.02020202020202022,0.025252525252525304
43,phase_noise_0.10,0.6801346801346801,0.6801346801346801,0.6835016835016835,0.0,0.0033670033670033517,0.01851851851851849,0.02188552188552184,0.02020202020202022
44,amplitude_noise_0.05,0.6767676767676768,0.6750841750841751,0.664983164983165,-0.0016835016835017313,-0.011784511784511786,0.02188552188552184,0.03367003367003374,0.030303030303030276
44,amplitude_noise_0.10,0.6767676767676768,0.6734006734006734,0.6565656565656566,-0.0033670033670033517,-0.02020202020202022,0.02188552188552184,0.03535353535353536,0.03872053872053871
44,band_0.15_0.30,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,band_0.30_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,band_0.50_0.75,0.16666666666666666,0.16498316498316498,0.16666666666666666,-0.0016835016835016758,0.0,0.531986531986532,0.5437710437710438,0.5286195286195287
44,blur_heavy,0.32491582491582494,0.2255892255892256,0.24074074074074073,-0.09932659932659935,-0.08417508417508421,0.3737373737373737,0.48316498316498324,0.4545454545454546
44,blur_light,0.563973063973064,0.2996632996632997,0.47474747474747475,-0.26430976430976433,-0.08922558922558926,0.13468013468013462,0.4090909090909091,0.22053872053872053
44,downsample_x2,0.6447811447811448,0.6414141414141414,0.6599326599326599,-0.0033670033670033517,0.015151515151515138,0.05387205387205385,0.06734006734006737,0.03535353535353536
44,downsample_x4,0.5909090909090909,0.398989898989899,0.5387205387205387,-0.19191919191919193,-0.05218855218855223,0.1077441077441077,0.3097643097643098,0.15656565656565657
44,full,0.6986531986531986,0.7087542087542088,0.6952861952861953,0.010101010101010166,-0.0033670033670033517,0.0,0.0,0.0
44,high_0.30,0.17003367003367004,0.1734006734006734,0.1717171717171717,0.0033670033670033517,0.0016835016835016758,0.5286195286195285,0.5353535353535355,0.5235690235690236
44,high_0.50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.531986531986532,0.5420875420875422,0.5286195286195287
44,low_0.15,0.49663299663299665,0.26936026936026936,0.37373737373737376,-0.2272727272727273,-0.12289562289562289,0.202020202020202,0.43939393939393945,0.32154882154882153
44,low_0.30,0.6043771043771043,0.3451178451178451,0.5538720538720538,-0.25925925925925924,-0.0505050505050505,0.09427609427609429,0.3636363636363637,0.14141414141414144
44,low_0.50,0.6565656565656566,0.6565656565656566,0.6346801346801347,0.0,-0.02188552188552184,0.04208754208754206,0.05218855218855223,0.06060606060606055
44,phase_noise_0.05,0.664983164983165,0.6851851851851852,0.6784511784511784,0.02020202020202022,0.013468013468013407,0.03367003367003363,0.023569023569023573,0.01683501683501687
44,phase_noise_0.10,0.6801346801346801,0.6885521885521886,0.6750841750841751,0.008417508417508435,-0.005050505050505083,0.01851851851851849,0.02020202020202022,0.02020202020202022
